Ram,Price_euros,Intel,Intel_baja,Intel_media,Intel_alta,AMD,Gaming,Ultrabook,Notebook,Nvidia,Nvidia_Geforce,Nvidia_graphics,Intel_graphics,Screen_HD,SSD,HDD,HDD+SSD,ppi
8,1962.98,true,false,false,false,false,false,true,false,false,false,true,true,false,true,false,false,209.8006828649808
4,277.99,false,false,false,false,true,false,false,true,false,false,false,false,false,true,false,false,111.93520355955211
16,1499.0,true,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,276.053530085501
24,1269.0,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,127.33567457123111
4,400.0,false,false,false,false,true,false,false,true,false,false,false,false,false,false,true,false,100.45466986113651
8,1409.0,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,127.33567457123111
8,850.66,true,false,false,false,false,false,false,true,false,false,true,true,true,false,true,false,141.21199808219862
8,1650.0,true,false,false,false,false,false,false,true,false,false,true,true,true,true,false,false,157.3505121487356
16,1649.0,true,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,165.6321180513006
4,304.0,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,100.45466986113651
12,693.99,true,false,false,false,false,false,false,true,true,false,false,false,false,false,true,false,100.45466986113651
4,1060.0,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,111.93520355955211
8,789.81,true,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,141.21199808219862
4,465.0,true,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,100.45466986113651
8,809.0,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,141.21199808219862
6,549.99,false,false,false,false,true,false,false,true,false,false,false,false,true,false,false,false,141.21199808219862
4,585.0,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,111.93520355955211
4,329.0,true,false,false,false,false,false,false,true,false,false,true,true,true,false,false,false,157.3505121487356
8,1149.0,true,false,false,false,false,false,true,false,false,false,true,true,true,true,false,false,276.053530085501
8,399.0,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,100.45466986113651
8,1686.64,true,false,false,false,false,false,true,false,false,false,true,true,true,true,false,false,209.8006828649808
8,1089.0,true,false,false,false,false,false,false,true,true,false,false,false,true,true,false,false,157.3505121487356
8,665.0,true,false,false,false,false,false,false,true,false,false,true,true,false,true,false,false,100.45466986113651
8,1510.0,true,false,false,false,false,false,true,false,false,false,true,true,false,true,false,false,226.41554716935852
4,655.0,true,false,false,false,false,false,false,true,true,false,false,false,true,false,true,false,127.33567457123111
12,2299.0,true,false,false,false,false,false,true,false,false,false,true,true,true,true,false,false,157.3505121487356
8,898.94,true,false,false,false,false,false,true,false,false,false,true,true,false,false,false,false,127.67794013309688
4,449.0,true,false,false,false,false,false,false,true,false,false,true,true,false,true,false,false,100.45466986113651
8,544.15,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,106.11306214269258
16,1349.0,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,141.21199808219862
16,2749.99,true,false,false,false,false,true,false,false,true,false,false,false,true,true,false,false,127.33567457123111
4,412.0,true,false,false,false,false,false,false,true,false,false,true,true,false,true,false,false,100.45466986113651
4,349.0,true,false,false,false,false,false,false,true,false,false,true,true,false,false,false,false,111.93520355955211
8,1398.99,true,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,165.6321180513006
2,330.0,true,false,false,false,false,false,false,true,false,false,true,true,false,false,false,false,111.93520355955211
4,598.9,true,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,141.21199808219862
8,1229.0,true,false,false,false,false,false,false,true,false,false,true,true,true,true,false,false,157.3505121487356
4,669.0,true,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,176.23257360658386
8,2049.0,true,false,false,false,false,false,true,false,false,false,true,true,true,false,false,false,157.3505121487356
16,2370.0,true,false,false,false,false,false,false,true,true,false,false,false,true,true,false,false,282.42399616439724
4,795.99,true,false,false,false,false,false,false,false,false,false,true,true,true,false,true,false,141.21199808219862
8,1085.0,true,false,false,false,false,false,false,true,false,false,false,false,true,true,true,true,127.33567457123111
8,1046.44,true,false,false,false,false,false,false,true,false,false,true,true,true,false,true,false,141.21199808219862
16,2199.0,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,127.33567457123111
4,369.0,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,100.45466986113651
8,675.0,true,false,false,false,false,false,false,true,false,false,false,false,true,false,true,false,141.21199808219862
16,2649.0,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,254.67134914246222
4,389.0,true,false,false,false,false,false,false,true,false,false,true,true,true,true,false,false,157.3505121487356
8,2040.0,true,false,false,false,false,false,true,false,false,false,false,true,false,true,false,false,226.98300468106115
8,1215.38,true,false,false,false,false,false,true,false,false,false,false,false,true,true,false,false,157.3505121487356
8,1757.42,true,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,165.6321180513006
4,1055.0,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,100.45466986113651
8,1369.0,true,false,false,false,false,false,false,true,true,false,false,false,true,true,false,false,141.21199808219862
4,867.0,true,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,141.21199808219862
16,1129.0,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,141.21199808219862
8,1690.0,true,false,false,false,false,false,true,false,false,false,true,true,true,true,false,false,176.23257360658386
8,819.0,true,false,false,false,false,false,false,true,true,false,false,false,true,true,true,true,141.21199808219862
8,729.0,true,false,false,false,false,false,true,false,false,false,true,true,true,true,false,false,165.6321180513006
4,488.69,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,100.45466986113651
